chr	start	end	nSNPs	anc	intSize
chr1	214593	214595	1	plat	2
chr1	214701	214782	10	pmex	81
chr1	214789	214791	1	plat	2
chr1	214794	214810	3	pmex	16
chr1	219357	219359	1	plat	2
chr1	221780	221782	1	plat	2
chr1	221844	221854	3	pmex	10
chr1	221981	221983	1	pmex	2
chr1	221997	221999	1	plat	2
chr1	229274	229276	1	plat	2
chr1	231420	231422	1	plat	2
chr1	232598	232600	1	plat	2
chr1	233307	233309	1	plat	2
chr1	234534	234536	1	pmex	2
chr1	235378	235380	1	plat	2
chr1	239764	239805	5	pmex	41
chr1	239821	239823	1	pmex	2
chr1	239829	239831	1	pmex	2
chr1	239913	239915	1	pmex	2
chr1	239920	239922	1	pmex	2
chr1	243830	243832	1	pmex	2
chr1	243833	243835	1	pmex	2
chr1	251298	251300	1	pmex	2
chr1	251947	251949	1	plat	2
chr1	256489	256491	1	plat	2
chr1	257420	257422	1	plat	2
chr1	257497	257499	1	plat	2
chr1	261221	261223	1	plat	2
chr1	265450	265452	1	plat	2
chr1	266895	266897	1	pmex	2
chr1	266896	266898	1	pmex	2
chr1	270224	270226	1	pmex	2
chr1	270231	270233	1	pmex	2
chr1	270384	270386	1	plat	2
chr1	270962	271150	7	pmex	188
chr1	271267	271269	1	plat	2
chr1	271300	271302	1	pmex	2
chr1	271302	271304	1	plat	2
chr1	271326	271328	1	plat	2
chr1	271365	271473	5	pmex	108
chr1	271639	271641	1	pmex	2
chr1	274667	274669	1	plat	2
chr1	274977	274979	1	plat	2
chr1	282464	282466	1	plat	2
chr1	282992	282994	1	plat	2
chr1	286987	287003	3	pmex	16
chr1	287538	287550	6	plat	12
chr1	287680	287682	1	plat	2
chr1	288021	288023	1	plat	2
chr1	296059	296061	1	pmex	2
chr1	298064	298066	1	pmex	2
chr1	298066	298087	4	pmex	21
chr1	307500	307575	9	plat	75
chr1	307655	307657	1	plat	2
chr1	307710	307712	1	plat	2
chr1	308154	308214	3	plat	60
chr1	308359	308361	1	pmex	2
chr1	308397	308399	1	plat	2
chr1	308497	308619	3	pmex	122
chr1	310299	310301	1	plat	2
chr1	310301	310303	1	plat	2
chr1	311638	311640	1	plat	2
chr1	318442	318444	1	plat	2
chr1	318509	318511	1	plat	2
chr1	318724	318743	3	pmex	19
chr1	318952	318954	1	pmex	2
chr1	318954	318956	1	pmex	2
chr1	318981	318983	1	pmex	2
chr1	319778	319780	1	plat	2
chr1	329492	329634	12	pmex	142
chr1	384183	384185	1	pmex	2
chr1	388208	388210	1	plat	2
chr1	390064	390066	1	plat	2
chr1	390191	390193	1	plat	2
chr1	390216	390218	1	plat	2
chr1	390407	390409	1	plat	2
chr1	390413	390415	1	plat	2
chr1	390532	390534	1	plat	2
chr1	390556	390558	1	plat	2
chr1	390563	390565	1	plat	2
chr1	390583	390718	16	plat	135
chr1	390730	390904	18	plat	174
chr1	390915	390961	4	plat	46
chr1	396175	396177	1	plat	2
chr1	402542	402544	1	pmex	2
chr1	402544	402546	1	pmex	2
chr1	402575	402577	1	pmex	2
chr1	402594	402596	1	pmex	2
chr1	402614	402769	6	pmex	155
chr1	402862	402864	1	pmex	2
chr1	403573	403575	1	pmex	2
chr1	403598	403600	1	pmex	2
chr1	406145	406147	1	plat	2
chr1	411270	411272	1	plat	2
chr1	413383	413385	1	plat	2
chr1	426509	426511	1	pmex	2
chr1	427028	427087	3	pmex	59
chr1	429186	429188	1	pmex	2
chr1	430898	430900	1	plat	2
chr1	431092	431429	101	pmex	337
chr1	431847	431936	8	pmex	89
chr1	431986	431988	1	pmex	2
chr1	432016	432018	1	plat	2
chr1	432078	432080	1	pmex	2
chr1	432108	432110	1	pmex	2
chr1	432220	432222	1	plat	2
chr1	432557	432559	1	pmex	2
chr1	432900	432902	1	plat	2
chr1	436314	436316	1	pmex	2
chr1	436387	436594	6	pmex	207
chr1	437641	437643	1	plat	2
chr1	437784	437786	1	plat	2
chr1	443161	443170	3	pmex	9
chr1	443226	443228	1	plat	2
chr1	443304	443368	4	pmex	64
chr1	443410	443412	1	pmex	2
chr1	444284	444289	3	pmex	5
chr1	445273	445275	1	plat	2
chr1	446188	446190	1	pmex	2
chr1	446498	446500	1	plat	2
chr1	449995	449997	1	pmex	2
chr1	450013	450015	1	pmex	2
chr1	454909	454911	1	pmex	2
chr1	455549	455551	1	plat	2
chr1	457375	457377	1	pmex	2
chr1	458109	458111	1	pmex	2
chr1	458135	458137	1	plat	2
chr1	458224	458226	1	plat	2
chr1	469325	469327	1	plat	2
chr1	471533	471535	1	plat	2
chr1	472076	472078	1	plat	2
chr1	472115	472117	1	plat	2
chr1	472135	472744	27	pmex	609
chr1	472747	472768	4	pmex	21
chr1	472788	472896	22	pmex	108
chr1	472939	472957	4	pmex	18
chr1	472961	472963	1	pmex	2
chr1	473443	473445	1	pmex	2
chr1	473451	473453	1	pmex	2
chr1	473460	473468	3	pmex	8
chr1	490333	490340	4	pmex	7
chr1	495928	495930	1	pmex	2
chr1	496693	496695	1	plat	2
chr1	497381	497455	10	pmex	74
chr1	498679	498681	1	pmex	2
chr1	498702	498704	1	plat	2
chr1	498726	498728	1	plat	2
chr1	498792	498794	1	plat	2
chr1	498818	498820	1	pmex	2
chr1	498846	498848	1	pmex	2
chr1	498949	499031	4	pmex	82
chr1	499728	500016	5	pmex	288
chr1	500593	500595	1	plat	2
chr1	500690	500692	1	pmex	2
chr1	500878	500880	1	plat	2
chr1	501080	501082	1	plat	2
chr1	501218	501220	1	plat	2
chr1	501265	501267	1	plat	2
chr1	501311	501313	1	plat	2
chr1	501314	501316	1	plat	2
chr1	501479	501513	3	plat	34
chr1	506427	506429	1	plat	2
chr1	508122	508124	1	plat	2
chr1	509124	509134	3	plat	10
chr1	509149	509151	1	plat	2
chr1	509151	509153	1	plat	2
chr1	509201	509205	3	plat	4
chr1	509206	509208	1	plat	2
chr1	509209	509211	1	plat	2
chr1	509212	509214	1	plat	2
chr1	509311	509313	1	plat	2
chr1	509314	509316	1	plat	2
chr1	509354	509356	1	plat	2
chr1	509412	509414	1	plat	2
chr1	509431	509433	1	plat	2
chr1	509533	509535	1	plat	2
chr1	510397	510421	3	pmex	24
chr1	510439	510441	1	pmex	2
chr1	510453	510455	1	pmex	2
chr1	510492	510494	1	pmex	2
chr1	510526	510528	1	plat	2
chr1	510557	510559	1	plat	2
chr1	510563	510622	7	pmex	59
chr1	510642	510644	1	pmex	2
chr1	513838	513840	1	plat	2
chr1	514194	514196	1	plat	2
chr1	514285	514287	1	plat	2
chr1	514415	514916	14	plat	501
chr1	514984	515421	11	plat	437
chr1	519785	519793	3	plat	8
chr1	519796	519798	1	plat	2
chr1	519802	519804	1	plat	2
chr1	519806	523234	4	plat	3428
chr1	535670	535672	1	plat	2
chr1	544315	544317	1	plat	2
chr1	548110	548112	1	plat	2
chr1	548316	548318	1	plat	2
chr1	548690	548692	1	plat	2
chr1	552133	552135	1	plat	2
chr1	552136	552138	1	plat	2
chr1	553008	553010	1	pmex	2
chr1	556779	556781	1	plat	2
chr1	557701	557703	1	pmex	2
chr1	557806	557808	1	plat	2
chr1	565414	565416	1	plat	2
chr1	578981	578983	1	pmex	2
chr1	580338	580340	1	plat	2
chr1	581056	581058	1	plat	2
chr1	581910	581912	1	plat	2
chr1	582043	582045	1	plat	2
chr1	582949	582951	1	plat	2
chr1	583795	583797	1	plat	2
chr1	590773	590775	1	plat	2
chr1	590778	590780	1	plat	2
chr1	598136	598138	1	pmex	2
chr1	598155	598157	1	pmex	2
chr1	598186	598188	1	plat	2
chr1	598209	598211	1	pmex	2
chr1	601158	601160	1	plat	2
chr1	603716	603718	1	pmex	2
chr1	603756	603758	1	pmex	2
chr1	603843	603890	3	pmex	47
chr1	603961	604051	4	pmex	90
chr1	604063	604065	1	pmex	2
chr1	604158	604310	8	pmex	152
chr1	604330	604332	1	pmex	2
chr1	604338	604340	1	pmex	2
chr1	604347	604349	1	pmex	2
chr1	604362	604466	8	pmex	104
chr1	604539	604541	1	pmex	2
chr1	604566	604607	3	pmex	41
chr1	604660	604662	1	pmex	2
chr1	604734	604736	1	pmex	2
chr1	604854	604856	1	pmex	2
chr1	605161	605163	1	plat	2
chr1	679696	679698	1	plat	2
chr1	680969	680971	1	plat	2
chr1	683499	683501	1	plat	2
chr1	705383	705385	1	plat	2
chr1	708257	708259	1	plat	2
chr1	710403	710405	1	plat	2
chr1	712880	712882	1	plat	2
chr1	991536	991538	1	plat	2
chr1	991970	991972	1	plat	2
chr1	992227	992229	1	plat	2
chr1	993029	993031	1	plat	2
chr1	993910	993912	1	pmex	2
chr1	993912	993914	1	pmex	2
chr1	995660	995662	1	plat	2
chr1	999977	999979	1	pmex	2
chr1	1000400	1000402	1	plat	2
chr1	1001579	1001581	1	plat	2
chr1	1002860	1002862	1	pmex	2
chr1	1002878	1002880	1	pmex	2
chr1	1003084	1003086	1	pmex	2
chr1	1003111	1003113	1	pmex	2
chr1	1003244	1003246	1	pmex	2
chr1	1003259	1003261	1	pmex	2
chr1	1004324	1004326	1	plat	2
chr1	1005219	1005221	1	plat	2
chr1	1005316	1005318	1	pmex	2
chr1	1006596	1006598	1	plat	2
chr1	1007157	1007159	1	plat	2
chr1	1009588	1009590	1	pmex	2
chr1	1009592	1009594	1	pmex	2
chr1	1009850	1009852	1	plat	2
chr1	1010191	1010193	1	pmex	2
chr1	1011414	1011416	1	pmex	2
chr1	1016697	1016699	1	plat	2
chr1	1020003	1020005	1	plat	2
chr1	1021450	1021452	1	plat	2
chr1	1022889	1022891	1	pmex	2
chr1	1022913	1022915	1	pmex	2
chr1	1023034	1023036	1	pmex	2
chr1	1023119	1023121	1	pmex	2
chr1	1024899	1024901	1	pmex	2
chr1	1027744	1027746	1	plat	2
chr1	1034663	1034665	1	plat	2
chr1	1037424	1037426	1	pmex	2
chr1	1037472	1037474	1	pmex	2
chr1	1037476	1037478	1	pmex	2
chr1	1037494	1037496	1	pmex	2
chr1	1037500	1037502	1	pmex	2
chr1	1037527	1037529	1	pmex	2
chr1	1037532	1037534	1	pmex	2
chr1	1037546	1037548	1	pmex	2
chr1	1037578	1037607	3	pmex	29
chr1	1037628	1037630	1	pmex	2
chr1	1037643	1037645	1	pmex	2
chr1	1037655	1037657	1	pmex	2
chr1	1037705	1037707	1	pmex	2
chr1	1037743	1037745	1	pmex	2
chr1	1037744	1037746	1	pmex	2
chr1	1037791	1037803	4	pmex	12
chr1	1037850	1037852	1	pmex	2
chr1	1037865	1037867	1	pmex	2
chr1	1037895	1037897	1	pmex	2
chr1	1037979	1037981	1	pmex	2
chr1	1037990	1037992	1	plat	2
chr1	1038057	1038074	3	pmex	17
chr1	1038102	1038111	4	pmex	9
chr1	1038113	1038126	3	pmex	13
chr1	1038163	1038170	3	pmex	7
chr1	1038183	1038185	1	pmex	2
chr1	1038188	1038190	1	pmex	2
chr1	1038278	1038280	1	pmex	2
chr1	1038290	1038292	1	pmex	2
chr1	1038329	1038331	1	pmex	2
chr1	1038344	1038346	1	pmex	2
chr1	1038385	1038387	1	pmex	2
chr1	1038430	1038440	3	pmex	10
chr1	1038477	1038486	4	pmex	9
chr1	1038516	1038567	3	pmex	51
chr1	1038609	1038635	3	pmex	26
chr1	1038658	1038660	1	pmex	2
chr1	1038661	1038663	1	pmex	2
chr1	1038706	1038768	5	pmex	62
chr1	1038769	1038771	1	pmex	2
chr1	1038773	1038775	1	pmex	2
chr1	1038774	1038776	1	pmex	2
chr1	1038790	1038792	1	pmex	2
chr1	1038791	1038793	1	pmex	2
chr1	1038808	1038810	1	pmex	2
chr1	1038899	1038901	1	pmex	2
chr1	1038917	1038919	1	pmex	2
chr1	1038934	1038940	3	pmex	6
chr1	1038940	1038942	1	pmex	2
chr1	1038950	1038952	1	pmex	2
chr1	1040064	1040110	4	pmex	46
chr1	1040111	1040113	1	pmex	2
chr1	1040113	1040115	1	pmex	2
chr1	1040121	1040123	1	pmex	2
chr1	1040136	1040138	1	pmex	2
chr1	1040172	1040174	1	pmex	2
chr1	1040190	1040192	1	pmex	2
chr1	1040211	1040213	1	pmex	2
chr1	1040225	1040227	1	pmex	2
chr1	1040255	1040257	1	pmex	2
chr1	1040258	1040260	1	pmex	2
chr1	1040275	1040277	1	pmex	2
chr1	1040295	1040297	1	pmex	2
chr1	1040302	1040304	1	pmex	2
chr1	1040338	1040340	1	pmex	2
chr1	1040359	1040376	3	pmex	17
chr1	1040413	1040415	1	pmex	2
chr1	1040434	1040467	3	pmex	33
chr1	1043295	1043315	3	pmex	20
chr1	1043373	1043476	3	pmex	103
chr1	1043520	1043522	1	pmex	2
chr1	1046419	1046421	1	plat	2
chr1	1047355	1047357	1	plat	2
chr1	1048933	1048939	3	pmex	6
chr1	1048948	1048954	3	pmex	6
chr1	1048993	1048995	1	pmex	2
chr1	1049266	1049340	5	pmex	74
chr1	1049351	1049456	4	pmex	105
chr1	1049467	1049469	1	pmex	2
chr1	1056507	1056509	1	pmex	2
chr1	1056523	1056525	1	pmex	2
chr1	1056563	1056565	1	pmex	2
chr1	1056650	1056652	1	pmex	2
chr1	1056697	1056699	1	pmex	2
chr1	1056710	1056712	1	pmex	2
chr1	1057326	1057328	1	plat	2
chr1	1058367	1058369	1	plat	2
chr1	1058482	1058484	1	plat	2
chr1	1058651	1058653	1	plat	2
chr1	1058719	1058721	1	pmex	2
chr1	1058778	1058780	1	pmex	2
chr1	1058946	1058948	1	pmex	2
chr1	1058949	1058951	1	pmex	2
chr1	1059078	1059080	1	pmex	2
chr1	1059108	1059110	1	pmex	2
chr1	1059141	1059169	3	pmex	28
chr1	1059188	1059190	1	pmex	2
chr1	1059190	1059192	1	pmex	2
chr1	1059202	1059204	1	pmex	2
chr1	1059262	1059264	1	pmex	2
chr1	1059268	1059270	1	pmex	2
chr1	1059319	1059321	1	pmex	2
chr1	1059322	1059324	1	pmex	2
chr1	1059345	1059347	1	pmex	2
chr1	1059353	1059355	1	pmex	2
chr1	1059367	1059369	1	pmex	2
chr1	1059410	1059412	1	pmex	2
chr1	1059504	1059535	10	pmex	31
chr1	1059552	1059554	1	pmex	2
chr1	1059555	1059557	1	pmex	2
chr1	1059605	1059631	3	pmex	26
chr1	1059666	1059668	1	pmex	2
chr1	1060487	1060489	1	pmex	2
chr1	1060515	1060517	1	pmex	2
chr1	1060546	1060561	3	pmex	15
chr1	1060590	1060592	1	pmex	2
chr1	1060654	1060722	8	pmex	68
chr1	1061394	1061396	1	pmex	2
chr1	1061406	1061408	1	pmex	2
chr1	1061459	1061618	5	pmex	159
chr1	1061665	1061667	1	pmex	2
chr1	1061731	1061733	1	pmex	2
chr1	1061761	1061763	1	pmex	2
chr1	1061792	1061794	1	pmex	2
chr1	1061832	1061834	1	pmex	2
chr1	1061874	1061876	1	pmex	2
chr1	1061910	1061912	1	pmex	2
chr1	1062428	1062430	1	pmex	2
chr1	1062836	1062838	1	pmex	2
chr1	1063829	1063831	1	pmex	2
chr1	1066349	1066351	1	plat	2
chr1	1067300	1067302	1	plat	2
chr1	1067351	1067353	1	plat	2
chr1	1067721	1067723	1	pmex	2
chr1	1067780	1067850	6	pmex	70
chr1	1068465	1068467	1	plat	2
chr1	1068480	1068482	1	pmex	2
chr1	1068484	1068486	1	plat	2
chr1	1069160	1069169	4	pmex	9
chr1	1069430	1069432	1	plat	2
chr1	1070493	1070495	1	plat	2
chr1	1071683	1071685	1	plat	2
chr1	1071765	1071767	1	plat	2
chr1	1072046	1072048	1	plat	2
chr1	1072111	1072113	1	plat	2
chr1	1078715	1078717	1	plat	2
chr1	1079516	1079518	1	pmex	2
chr1	1079546	1079709	4	pmex	163
chr1	1079780	1080031	7	pmex	251
chr1	1084084	1084086	1	plat	2
chr1	1084324	1084326	1	plat	2
chr1	1085449	1085451	1	plat	2
chr1	1086699	1087073	14	pmex	374
chr1	1087169	1089062	55	pmex	1893
chr1	1091639	1091641	1	pmex	2
chr1	1091689	1091691	1	pmex	2
chr1	1091899	1094340	352	pmex	2441
chr1	1095340	1095342	1	plat	2
chr1	1101709	1101711	1	plat	2
chr1	1106722	1106724	1	plat	2
chr1	1107434	1107436	1	plat	2
chr1	1108259	1108261	1	plat	2
chr1	1109850	1109852	1	plat	2
chr1	1113977	1113979	1	plat	2
chr1	1115477	1115479	1	plat	2
chr1	1115797	1115799	1	plat	2
chr1	1116223	1116225	1	plat	2
chr1	1116487	1116489	1	plat	2
chr1	1123688	1123690	1	plat	2
chr1	1124776	1124778	1	plat	2
chr1	1126472	1126474	1	plat	2
chr1	1127462	1127464	1	plat	2
chr1	1128646	1128648	1	pmex	2
chr1	1128890	1128892	1	plat	2
chr1	1129841	1129843	1	pmex	2
chr1	1143175	1143177	1	pmex	2
chr1	1143239	1143241	1	pmex	2
chr1	1143253	1143255	1	pmex	2
chr1	1144121	1144812	9	pmex	691
chr1	1144937	1144939	1	pmex	2
chr1	1144941	1144943	1	pmex	2
chr1	1145024	1145026	1	pmex	2
chr1	1146615	1146617	1	plat	2
chr1	1147272	1147274	1	plat	2
chr1	1148860	1148941	3	pmex	81
chr1	1149309	1149311	1	plat	2
chr1	1149562	1149564	1	pmex	2
chr1	1149563	1149565	1	pmex	2
chr1	1149827	1149829	1	pmex	2
chr1	1150395	1150397	1	pmex	2
chr1	1150689	1150691	1	pmex	2
chr1	1150727	1150729	1	pmex	2
chr1	1152312	1152314	1	pmex	2
chr1	1152914	1152916	1	plat	2
chr1	1154236	1154238	1	plat	2
chr1	1156856	1156858	1	plat	2
chr1	1158004	1158006	1	plat	2
chr1	1158088	1158090	1	plat	2
chr1	1159260	1159262	1	plat	2
chr1	1163031	1163033	1	plat	2
chr1	1163032	1163034	1	plat	2
chr1	1164520	1164646	8	pmex	126
chr1	1169838	1169840	1	plat	2
chr1	1170084	1170086	1	pmex	2
chr1	1172790	1172792	1	plat	2
chr1	1175041	1175043	1	pmex	2
chr1	1182228	1182303	8	pmex	75
chr1	1183270	1183272	1	plat	2
chr1	1183820	1183822	1	plat	2
chr1	1186585	1186587	1	plat	2
chr1	1187076	1187078	1	plat	2
chr1	1187122	1187124	1	plat	2
chr1	1187602	1187604	1	pmex	2
chr1	1188778	1188780	1	plat	2
chr1	1189906	1189908	1	plat	2
chr1	1194013	1194015	1	plat	2
chr1	1194081	1194083	1	pmex	2
chr1	1195680	1195682	1	pmex	2
chr1	1195718	1195720	1	pmex	2
chr1	1196012	1196014	1	pmex	2
chr1	1196268	1196270	1	pmex	2
chr1	1196327	1196329	1	pmex	2
chr1	1196789	1196835	3	pmex	46
chr1	1197086	1197088	1	plat	2
chr1	1197456	1197537	3	pmex	81
chr1	1202039	1202041	1	pmex	2
chr1	1202128	1202130	1	pmex	2
chr1	1202204	1202365	3	pmex	161
chr1	1202436	1202438	1	pmex	2
chr1	1202499	1202501	1	pmex	2
chr1	1202588	1202590	1	plat	2
chr1	1202628	1202630	1	pmex	2
chr1	1202670	1202817	6	pmex	147
chr1	1203850	1203852	1	plat	2
chr1	1204413	1204415	1	pmex	2
chr1	1267408	1267421	7	pmex	13
chr1	1267450	1267452	1	plat	2
chr1	1267669	1267671	1	plat	2
chr1	1267839	1267841	1	pmex	2
chr1	1268124	1268126	1	plat	2
chr1	1268664	1268666	1	pmex	2
chr1	1268672	1268674	1	pmex	2
chr1	1268739	1268741	1	pmex	2
chr1	1271013	1271015	1	plat	2
chr1	1271194	1271196	1	plat	2
chr1	1271267	1271269	1	plat	2
chr1	1271376	1271378	1	plat	2
chr1	1271440	1271442	1	plat	2
chr1	1271471	1271473	1	plat	2
chr1	1271657	1271659	1	plat	2
chr1	1271679	1271681	1	plat	2
chr1	1271743	1271765	3	plat	22
chr1	1272331	1272333	1	plat	2
chr1	1272366	1272368	1	plat	2
chr1	1273168	1273170	1	pmex	2
chr1	1273195	1273197	1	plat	2
chr1	1274397	1274399	1	plat	2
chr1	1274457	1274459	1	plat	2
chr1	1274820	1274822	1	plat	2
chr1	1275044	1275046	1	plat	2
chr1	1275181	1275183	1	plat	2
chr1	1275316	1275318	1	plat	2
chr1	1275421	1275423	1	plat	2
chr1	1275438	1275440	1	plat	2
chr1	1275561	1275563	1	pmex	2
chr1	1275786	1275788	1	pmex	2
chr1	1275967	1275969	1	pmex	2
chr1	1275985	1276085	4	plat	100
chr1	1276093	1276095	1	plat	2
chr1	1276124	1276207	5	plat	83
chr1	1276305	1276307	1	plat	2
chr1	1276354	1276356	1	plat	2
chr1	1276413	1276503	5	pmex	90
chr1	1276512	1276576	11	pmex	64
chr1	1302830	1302832	1	pmex	2
chr1	1316846	1316848	1	plat	2
chr1	1338722	1338724	1	plat	2
chr1	1339862	1339864	1	plat	2
chr1	1340734	1340736	1	plat	2
chr1	1341863	1341865	1	plat	2
chr1	1341866	1341868	1	plat	2
chr1	1341943	1341945	1	plat	2
chr1	1343434	1343436	1	plat	2
chr1	1343547	1343549	1	pmex	2
chr1	1343869	1343871	1	plat	2
chr1	1344071	1344073	1	plat	2
chr1	1346720	1346726	4	plat	6
chr1	1346729	1346809	20	plat	80
chr1	1347072	1347074	1	plat	2
chr1	1347116	1347118	1	plat	2
chr1	1347223	1347225	1	pmex	2
chr1	1347264	1347266	1	pmex	2
chr1	1347634	1347636	1	plat	2
chr1	1347894	1347940	3	pmex	46
chr1	1348190	1348192	1	pmex	2
chr1	1348758	1348760	1	pmex	2
chr1	1349372	1350513	62	pmex	1141
chr1	1351461	1351463	1	pmex	2
chr1	1353117	1353119	1	plat	2
chr1	1353345	1353347	1	plat	2
chr1	1353607	1353609	1	plat	2
chr1	1353768	1353770	1	plat	2
chr1	1353824	1353826	1	plat	2
chr1	1353853	1353855	1	plat	2
chr1	1353974	1354979	9	plat	1005
chr1	1355028	1355030	1	plat	2
chr1	1355207	1355209	1	plat	2
chr1	1355388	1355390	1	plat	2
chr1	1355578	1355580	1	plat	2
chr1	1355601	1355603	1	plat	2
chr1	1356599	1356649	3	pmex	50
